system_id,benchmark,scenario,perf_metric,perf_value
A10x1_TRT,resnet50,Offline,result_samples_per_second,69514.0
A10x1_TRT,resnet50,SingleStream,result_90.00_percentile_latency_ns,289431.0
A10x2_TRT,resnet50,Offline,result_samples_per_second,136677.0
A10x2_TRT,resnet50,Server,result_scheduled_samples_per_sec,120086.9
DGX-A100_A100-SXM4-40GBx1_TRT,resnet50,Offline,result_samples_per_second,136142.0
DGX-A100_A100-SXM4-40GBx1_TRT,resnet50,SingleStream,result_90.00_percentile_latency_ns,338085.0
DGX-A100_A100-SXM4-40GBx8_TRT,resnet50,Offline,result_samples_per_second,1077800.0
DGX-A100_A100-SXM4-40GBx8_TRT,resnet50,Server,result_scheduled_samples_per_sec,801252.0
T4x1_TRT,resnet50,Offline,result_samples_per_second,30414.6
T4x1_TRT,resnet50,SingleStream,result_90.00_percentile_latency_ns,487419.0
T4x8_TRT,resnet50,Offline,result_samples_per_second,197079.0
T4x8_TRT,resnet50,Server,result_scheduled_samples_per_sec,176082.9
